Source,Target,Weight
64,7,7
34,121,3
7,64,2
98,121,2
134,134,4
71,107,2
107,71,1
10,10,62
33,16,14
85,27,9
102,102,1
114,56,2
132,82,1
69,16,1
34,97,3
40,73,1
12,43,4
43,12,1
95,67,5
42,53,10
67,95,1
88,122,7
34,57,3
92,29,2
74,80,1
29,92,1
130,105,1
86,86,8
83,84,23
51,59,1
41,78,1
78,41,4
56,77,50
77,56,1
106,113,1
39,110,5
110,39,2
28,136,1
20,64,4
64,20,1
65,96,1
20,106,15
106,20,4
87,36,158
36,87,95
41,34,18
34,41,19
94,114,3
114,94,4
18,115,31
115,18,22
78,78,5
92,127,8
127,92,2
7,106,5
53,28,5
121,105,1
125,0,2
0,125,1
76,81,15
72,124,1
124,72,1
6,6,51
11,59,1
88,32,2
30,115,2
45,44,1
111,45,1
74,120,1
77,34,2
34,77,3
40,13,3
13,40,1
54,34,4
34,54,4
97,104,63
104,97,2
94,37,5
34,99,1
34,123,2
14,24,2
74,55,2
94,87,1
90,112,4
112,90,2
48,96,3
8,72,1
10,6,3
132,32,1
44,117,4
117,44,1
112,6,4
6,112,9
61,60,12
23,46,22
46,23,9
34,37,3
37,34,4
3,97,8
92,93,21
56,56,58
93,92,4
96,33,10
33,96,22
68,89,7
89,68,1
30,53,1
53,30,3
69,76,4
26,84,1
84,26,2
40,25,1
10,34,1
114,91,1
74,92,1
57,37,5
37,57,5
90,10,1
60,106,1
8,50,34
61,20,4
78,15,2
15,78,2
130,98,1
34,130,6
73,15,9
15,73,1
12,32,10
52,52,2
74,35,12
35,74,1
34,36,3
27,65,5
65,27,1
19,19,12
6,90,22
90,6,13
10,53,22
53,10,9
23,97,2
97,23,1
26,16,20
90,78,1
16,26,2
78,113,1
79,22,1
91,37,9
33,76,12
76,33,2
34,78,3
78,34,2
3,111,5
39,73,2
10,41,1
34,44,3
44,34,1
111,92,1
92,111,1
75,76,6
8,51,1
74,31,5
31,74,2
34,73,40
73,34,27
61,110,5
34,103,4
28,86,4
86,28,1
2,45,7
25,25,3
16,58,3
58,16,1
39,129,3
129,39,3
50,52,36
52,50,8
58,72,2
18,13,3
13,18,5
52,102,1
6,15,1
36,117,1
129,80,2
80,129,1
39,115,1
2,117,1
34,20,3
3,3,1
41,41,19
39,74,5
74,39,3
20,32,7
82,129,2
129,82,2
32,20,1
40,41,4
5,3,1
3,5,1
74,82,2
114,37,4
37,114,1
2,38,1
74,66,1
50,50,58
101,122,2
81,50,4
31,71,1
50,81,4
76,108,7
12,61,19
61,12,13
64,71,2
71,64,1
2,125,1
20,107,2
16,35,1
35,16,1
113,77,20
77,113,6
16,122,7
68,44,1
100,37,21
37,100,2
74,81,1
7,82,1
113,79,3
9,65,2
69,88,3
129,87,3
87,129,6
70,14,2
20,120,3
15,15,19
77,73,2
6,7,47
7,6,35
12,135,1
